x1,x2,x3,y1,y2,y3
10,19,2,93,278,380
7,10,23,22,50,98
10,5,15,56,369,995
4,19,18,65,471,49
5,2,16,52,15,970
1,17,27,34,190,276
10,10,22,67,330,632
8,14,11,52,419,128
2,14,8,42,76,145
5,19,13,44,197,374
8,6,17,95,162,246
6,16,8,1,394,746
10,4,6,81,153,679
10,5,18,43,69,674
10,4,20,40,235,710
8,4,28,60,66,868
1,6,27,74,54,199
6,1,16,17,232,593
8,18,29,82,286,867
10,11,28,74,102,48
7,3,21,22,272,347
7,15,12,78,387,951
5,5,7,19,48,403
6,13,18,71,331,831
10,16,11,57,241,447
8,17,27,65,289,351
10,10,12,17,97,519
10,2,16,58,258,560
8,11,28,20,113,324
1,2,12,98,161,13
6,7,6,29,394,64
5,1,9,49,92,811
8,12,24,9,184,90
6,1,2,2,471,162
6,13,2,66,447,211
7,6,11,68,166,989
1,9,23,4,203,378
7,3,13,78,391,598
1,10,2,64,431,300
4,10,13,98,471,680
8,2,11,48,454,629
9,18,21,58,303,893
1,11,18,74,482,16
9,3,1,14,348,934
9,18,15,10,222,627
1,6,21,10,286,707
10,9,25,20,319,102
9,13,15,5,50,196
2,6,8,41,246,407
1,13,12,78,454,393
